,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
61,778570267,Pixel 3 Black 64 Gb Unlocked,399,Used (normal wear),Still in brand new condition Google Pixel 3 black in color 64 Gb.  Bought it just test out android but still prefer iOS. No scratches no dings. Perfect condition.,2,No delivery INFO!,"Ships from Albuquerque, NM for $3.29",,"Albuquerque, NM",3.29,"Albuquerque, NM",Albuquerque, NM,3 weeks 
62,770298927,Google 3. Pixel.,500,Used (normal wear),Great phone small crack will take ,2,No delivery INFO!,"Ships from Largo, FL for $3.29",,"Largo, FL",3.29,"Largo, FL",Largo, FL,1 month 
63,772056751,Google pixel 3 xl,400,Used (normal wear),Unlocked,3,No delivery INFO!,"Ships from Camp Springs, MD for $7.49",,"Camp Springs, MD",7.49,"Camp Springs, MD",Camp Springs, MD,1 month 
64,766838142,GOOGLE PIXEL 3,400,Used (normal wear),great condition !no cracks 🙅only selling cause I'm looking to upgrade.original charger included~,3,No delivery INFO!,"Ships from Yuma, AZ for $3.29",,"Yuma, AZ",3.29,"Yuma, AZ",Yuma, AZ,1 month 
65,761868024,Google pixel 3XL,300,New (never used),Google Pixel 3 XL - 128GB - Not Pink (Project Fi). Condition is New.,5,No delivery INFO!,"Ships from Sacramento, CA for $7.49",,"Sacramento, CA",7.49,"Sacramento, CA",Sacramento, CA,1 month 
66,758398618,Google pixel 3 XL,500,Used (normal wear),Google pixel 3XL like new 128gb ,3,No delivery INFO!,"Ships from Fort Lee, NJ for $10.99",,"Fort Lee, NJ",10.99,"Fort Lee, NJ",Fort Lee, NJ,2 months 
67,754039546,Google Pixel 3 (64GB),350,Used (normal wear),Selling my Google Pixel 3 !!! It’s in great condition! No scratches or dents on the back!! It only has a tiny crack on the bottom right of the screen which is barely visible! It’s carrier unlocked !! I payed $500 for it and I’m knocking off $200 !! $350 obo!! Genuine brown leather case with card holder included !,7,No delivery INFO!,"Ships from Elk Grove, CA for $3.29",,"Elk Grove, CA",3.29,"Elk Grove, CA",Elk Grove, CA,2 months 
68,742748176,Google pixel 3 xl,450,Used (normal wear),"Brand new google pixel 3xl, lower left corner of screen cracked...but simple front glass repair, 64gb, black in color ( i have two). ",3,No delivery INFO!,"Ships from Draper, UT for $7.49",,"Draper, UT",7.49,"Draper, UT",Draper, UT,2 months 
69,741851546,Google Pixel 3 Verizon Unlocked- Not Pink,500,Used (normal wear),"Like New, Google Pixel 3 Verizon Unlocked - Not Pink. CASH ONLY, NO TRADES, NO LOWBALLERS!!",2,No delivery INFO!,"Ships from Orlando, FL for $7.49",,"Orlando, FL",7.49,"Orlando, FL",Orlando, FL,2 months 
70,716945587,Google Pixel 3,400,Used (normal wear),New Other- Google Pixel 3Excellent conditionBeen in case since purchase dateNo scratches or dents or dingsUsed for work purposesNeed to migrate back to iPhonePlease contact me only if you are serious!,1,No delivery INFO!,"Ships from VLG WELLINGTN, FL for $3.29",,"VLG WELLINGTN, FL",3.29,"VLG WELLINGTN, FL",VLG WELLINGTN, FL,4 months 
71,709392412,Google Pixel 3 Pink (Verizon),500,Used (normal wear),"LIKE NEW!! No scratches or dents!Google Pixel 3 VerizonColor: “Not Pink” (a light pink)Looking to sell to switch to appleComes with accessories (charging cords, brick, headphones, dongle, cases) No scams please... serious offers only ",3,No delivery INFO!,"Ships from Mesa, AZ for $3.29",,"Mesa, AZ",3.29,"Mesa, AZ",Mesa, AZ,4 months 
72,686578426,Moto g 5 and a Google pixel 3,145,Used (normal wear),I need 145 asap so selling both a hell of a deal. First 1 to respond gets gotta get tonight deal is over in 45 min ,2,No delivery INFO!,"Ships from Cartersville, GA for $7.49",,"Cartersville, GA",7.49,"Cartersville, GA",Cartersville, GA,6 months 
73,660203463,New Google pixel 3,450,New (never used),Brand New comes with charger,5,No delivery INFO!,"Ships from Aurora, CO for $3.29",,"Aurora, CO",3.29,"Aurora, CO",Aurora, CO,7 months 
74,628358286,New Google pixel 3- not pink 64gb,500,Reconditioned/Certified,Hardly used Google pixel 3 with case glass protector charger and headphones,5,No delivery INFO!,"Ships from San Jose, CA for $7.49",,"San Jose, CA",7.49,"San Jose, CA",San Jose, CA,9 months 
